Boston,Mar 5 2020,@ Florida,REG,W, 2-1 , -150,U,6
Boston,Mar 7 2020,vs Tampa Bay,REG,L, 5-3 , -140,O,5.5
Boston,Mar 10 2020,@ Philadelphia,REG,W, 2-0 , -110,U,5.5

Buffalo,Oct 3 2019,@ Pittsburgh,REG,W, 3-1 , +165,U,6.5
Buffalo,Oct 5 2019,vs New Jersey,REG,W, 7-2 , -120,O,5.5
Buffalo,Oct 7 2019,@ Columbus,REG,L, 4-3 , -105,O,6
Buffalo,Oct 9 2019,vs Montreal,REG,W, 5-4 , -115,O,6
Buffalo,Oct 11 2019,vs Florida,REG,W, 3-2 , +115,U,6.5
Buffalo,Oct 14 2019,vs Dallas,REG,W, 4-0 , -105,U,5.5
Buffalo,Oct 16 2019,@ Anaheim,REG,L, 5-2 , +110,O,5.5
Buffalo,Oct 17 2019,@ Los Angeles,REG,W, 3-0 , +110,U,6
Buffalo,Oct 19 2019,@ San Jose,REG,W, 4-3 , +155,O,6.5
Buffalo,Oct 22 2019,vs San Jose,REG,W, 4-3 , -115,O,6.5
Buffalo,Oct 24 2019,@ NY Rangers,REG,L, 6-2 , -125,O,6.5
Buffalo,Oct 25 2019,@ Detroit,REG,W, 2-0 , -115,U,6
Buffalo,Oct 28 2019,vs Arizona,REG,L, 3-2 , -120,U,5.5
Buffalo,Nov 1 2019,@ Washington,REG,L, 6-1 , +165,O,6.5
Buffalo,Nov 2 2019,vs NY Islanders,REG,L, 1-0 , -120,U,5.5
Buffalo,Nov 8 2019,vs Tampa Bay,REG,L, 3-2 , +150,U,6.5
Buffalo,Nov 9 2019,@ Tampa Bay,REG,L, 5-3 , +145,O,6.5
Buffalo,Nov 14 2019,vs Carolina,REG,L, 5-4 , +115,O,6
Buffalo,Nov 16 2019,vs Ottawa,REG,W, 4-2 , -200,U,6.5
Buffalo,Nov 17 2019,@ Chicago,REG,L, 4-1 , +110,U,6.5
Buffalo,Nov 19 2019,vs Minnesota,REG,L, 4-1 , -110,U,5.5
Buffalo,Nov 21 2019,@ Boston,REG,L, 3-2 , +210,U,5.5
Buffalo,Nov 24 2019,@ Florida,REG,W, 5-2 , +120,O,6.5
Buffalo,Nov 25 2019,@ Tampa Bay,REG,L, 5-2 , +200,O,6.5
Buffalo,Nov 27 2019,vs Calgary,REG,L, 3-2 , +105,U,5.5
Buffalo,Nov 29 2019,vs Toronto,REG,W, 6-4 , +130,O,6.5
Buffalo,Nov 30 2019,@ Toronto,REG,L, 2-1 , +210,U,6.5
Buffalo,Dec 2 2019,vs New Jersey,REG,W, 7-1 , -125,O,6
Buffalo,Dec 5 2019,@ Calgary,REG,L, 4-3 , +140,O,5.5
Buffalo,Dec 7 2019,@ Vancouver,REG,L, 6-5 , +130,O,6
Buffalo,Dec 8 2019,@ Edmonton,REG,W, 3-2 , +160,U,6
Buffalo,Dec 10 2019,vs St. Louis,REG,W, 5-2 , +110,O,5.5
Buffalo,Dec 12 2019,vs Nashville,REG,W, 4-3 , +125,O,6
Buffalo,Dec 14 2019,@ NY Islanders,REG,L, 3-2 , +145,U,5.5
Buffalo,Dec 17 2019,@ Toronto,REG,L, 5-3 , +170,O,6.5
Buffalo,Dec 19 2019,@ Philadelphia,REG,L, 6-1 , +120,O,6
Buffalo,Dec 21 2019,vs Los Angeles,REG,W, 3-2 , -145,U,6
Buffalo,Dec 23 2019,@ Ottawa,REG,L, 3-1 , -120,U,6.5
Buffalo,Dec 27 2019,vs Boston,REG,L, 3-0 , +125,U,5.5
Buffalo,Dec 29 2019,@ Boston,REG,L, 3-2 , +190,U,5.5
Buffalo,Dec 31 2019,vs Tampa Bay,REG,L, 6-4 , +145,O,6.5
Buffalo,Jan 2 2020,vs Edmonton,REG,W, 3-2 , -125,U,6
Buffalo,Jan 4 2020,vs Florida,REG,W, 3-2 , +105,U,6.5
Buffalo,Jan 9 2020,@ St. Louis,REG,L, 5-1 , +175,O,5.5
Buffalo,Jan 11 2020,vs Vancouver,REG,L, 6-3 , -110,O,6
Buffalo,Jan 12 2020,@ Detroit,REG,W, 5-1 , -125,O,5.5
